"Trade Date,Order Type,Security,Cusip,Transaction Description,Quantity,Executed Price,Commission,Net Amount"
"1/2/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,75.6,4.95,37804.95"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,75.1098,4.95,37549.4"
"1/2/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,74.9,9.9,74909.9"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,75.2,4.95,37594.5"
"1/2/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,75.1,4.95,37554.95"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,75.4,4.95,37694.49"
"1/2/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,75.15,4.95,37579.95"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",200,75.5597,0.0000,15111.72"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",100,75.5814,4.95,7553.08"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",200,75.559,0.0000,15111.58"
"1/2/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,75,9.9,75009.9"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",1000,75.3,9.9,75289"
"1/2/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",1000,74.7,9.9,74709.9"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,74.6821,4.95,37335.55"
"1/2/2019,Buy,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN                PROSPECTUS ON INITIAL PURCHASE"",500,74.6,4.95,37304.95"
"1/2/2019,Sell,TVIX,22542D332,""***CREDIT SUISSE AG NASSAU BRHVELOCITYSHARES DAILY 2X VIX   SHORT TERM ETN"",500,74.9,4.95,37444.5"
