"TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description"
"08/23/19,Bought,EQ,AMD,1000,-30004.95,30,4.95,ADVANCED MICRO DEVICES INC    COM"
"08/23/19,Sold,EQ,MSFT,-1000,138101.27,138.1092,4.95,MICROSOFT CORP"
"08/23/19,Bought,EQ,MSFT,1000,-137877.55,137.8726,4.95,MICROSOFT CORP"
"08/23/19,Sold,EQ,BABA,-500,85418.37,170.8503,4.95,***ALIBABA GROUP HOLDING LTD  SPONSORED ADR"
"08/23/19,Bought,EQ,BABA,500,-85254.95,170.5,4.95,***ALIBABA GROUP HOLDING LTD  SPONSORED ADR"
"08/01/19,Sold,EQ,SPWR,-1000,14977.41,14.9828,4.95,SUNPOWER CORPORATION"
"08/01/19,Bought,EQ,SPWR,1000,-14498.95,14.494,4.95,SUNPOWER CORPORATION"
"07/29/19,Sold,EQ,FB,-1000,196883.85,196.893,4.95,FACEBOOK INC                  CL A"
"07/29/19,Bought,EQ,FB,1000,-197257.45,197.2525,4.95,FACEBOOK INC                  CL A"
"07/26/19,Interest,BOND,00099A109,0,164.18,0,0,INTEREST ON CASH BALANCE      AT  0.349% 06/26 THRU 07/25   "
"07/22/19,Sold,EQ,AMD,-1000,30994.28,31,4.95,ADVANCED MICRO DEVICES INC    COM                           "
"07/22/19,Option Assignment,OPTN,AMD Jul 19 '19 $31 Call,10,0,0,0,AMD Jul 19 '19 $31 Call"
"07/10/19,Sold,EQ,HLIT,-1000,7521.77,7.527,4.95,HARMONIC INC"
"07/10/19,Sold,EQ,HELE,-100,14796.02,148.0129,4.95,***HELEN OF TROY LTD-BERMUDA"
"07/10/19,Bought,EQ,HLIT,1000,-7722.65,7.7177,4.95,HARMONIC INC"
"07/10/19,Bought,EQ,HELE,100,-14989.95,149.85,4.95,***HELEN OF TROY LTD-BERMUDA"
"06/28/19,Sold,EQ,FB,-1000,192144.75,192.1538,4.95,FACEBOOK INC                  CL A"
"06/28/19,Bought,EQ,FB,1000,-192374.95,192.37,4.95,FACEBOOK INC                  CL A"
"06/28/19,Sold,EQ,FB,-1000,191890.95,191.9,4.95,FACEBOOK INC                  CL A"
"06/28/19,Bought,EQ,FB,1000,-191344.95,191.34,4.95,FACEBOOK INC                  CL A"
"06/27/19,Sold,EQ,OSTK,-800,11751.65,14.69,0,OVERSTOCK.COM INC             DEL"
"06/27/19,Sold,EQ,OSTK,-200,2937.96,14.715,4.95,OVERSTOCK.COM INC             DEL"
"06/27/19,Bought,EQ,OSTK,1000,-14494.95,14.49,4.95,OVERSTOCK.COM INC             DEL"
"06/27/19,Sold,EQ,OSTK,-300,4215.92,14.07,4.95,OVERSTOCK.COM INC             DEL"
"06/27/19,Sold,EQ,OSTK,-700,9841.71,14.06,0,OVERSTOCK.COM INC             DEL"
"06/27/19,Bought,EQ,OSTK,1000,-14284.85,14.2799,4.95,OVERSTOCK.COM INC             DEL"
"06/26/19,Interest,BOND,00099A109,0,66.8,0,0,INTEREST ON CASH BALANCE      AT  0.199% 05/26 THRU 06/25   "
"06/25/19,Sold Short,OPTN,AMD Jul 19 '19 $31 Call,-10,969.83,0.98,9.95,AMD Jul 19 '19 $31 Call"
"06/24/19,Option Expiration,OPTN,AMD Jun 21 '19 $30.50 Call,5,0,0,0,AMD Jun 21 '19 $30.50 Call"
"06/24/19,Option Expiration,OPTN,AMD Jun 21 '19 $29.50 Call,5,0,0,0,AMD Jun 21 '19 $29.50 Call"
"06/18/19,Journal,UNKNOWN, ,0,-84.4,0,0,TRANSFER BAL TO MARGIN"
"06/18/19,Journal,UNKNOWN, ,0,84.4,0,0,TRANSFER BAL FROM CASH"
"06/17/19,Transfer,UNKNOWN, ,0,-84.4,0,0,SWEEP FROM BROKERAGE ACCOUNT"
"06/14/19,Sold,EQ,MSFT,-1000,132222.19,132.23,4.95,MICROSOFT CORP"
"06/14/19,Bought,EQ,MSFT,1000,-132054.95,132.05,4.95,MICROSOFT CORP"
"06/14/19,Journal,UNKNOWN, ,0,446.78,0,0,TRANSFER BAL TO MARGIN"
"06/14/19,Journal,UNKNOWN, ,0,-446.78,0,0,TRANSFER BAL FROM CASH"
"06/13/19,Interest,UNKNOWN, ,0,446.78,0,0,INTEREST ADJUSTMENT"
"06/11/19,Reorganization,BOND,912796VF3,-350000,350000,0,0,UNITED STATES TREASURY BILL   RE-ISSUE 05/14/2019           "
"06/07/19,Bought,EQ,AMD,500,-15899.95,31.79,4.95,ADVANCED MICRO DEVICES INC    COM"
"06/07/19,Sold Short,OPTN,AMD Jun 21 '19 $30.50 Call,-5,1042.42,2.1,7.45,AMD Jun 21 '19 $30.50 Call"
"05/28/19,Sold Short,OPTN,AMD Jun 21 '19 $29.50 Call,-5,497.43,1.01,7.45,AMD Jun 21 '19 $29.50 Call"
"05/28/19,Bought,EQ,AMD,500,-14219.95,28.43,4.95,ADVANCED MICRO DEVICES INC    COM"
